# date	new_cases
12/31/19	0
1/1/20	0
1/2/20	0
1/3/20	0
1/4/20	0
1/5/20	0
1/6/20	0
1/7/20	0
1/8/20	0
1/9/20	0
1/10/20	0
1/11/20	0
1/12/20	0
1/13/20	0
1/14/20	0
1/15/20	0
1/16/20	0
1/17/20	0
1/18/20	0
1/19/20	0
1/20/20	0
1/21/20	1
1/22/20	0
1/23/20	0
1/24/20	0
1/25/20	1
1/26/20	0
1/27/20	3
1/28/20	0
1/29/20	0
1/30/20	0
1/31/20	1
2/1/20	1
2/2/20	1
2/3/20	3
2/4/20	0
2/5/20	0
2/6/20	1
2/7/20	0
2/8/20	0
2/9/20	0
2/10/20	0
2/11/20	1
2/12/20	0
2/13/20	1
2/14/20	1
2/15/20	0
2/16/20	0
2/17/20	0
2/18/20	0
2/19/20	0
2/20/20	0
2/21/20	1
2/22/20	19
2/23/20	0
2/24/20	0
2/25/20	18
2/26/20	0
2/27/20	6
2/28/20	1
2/29/20	6
3/1/20	3
3/2/20	20
3/3/20	14
3/4/20	22
3/5/20	34
3/6/20	74
3/7/20	105
3/8/20	95
3/9/20	121
3/10/20	200
3/11/20	271
3/12/20	287
3/13/20	351
3/14/20	511
3/15/20	777
3/16/20	823
3/17/20	887
3/18/20	1766
3/19/20	2988
3/20/20	4835
3/21/20	5374
3/22/20	7123
3/23/20	8459
3/24/20	11236
3/25/20	8789
3/26/20	13963
3/27/20	16797
3/28/20	18695
3/29/20	19979
3/30/20	18360
3/31/20	21595
4/1/20	24998
4/2/20	27103
4/3/20	28819
4/4/20	32425
4/5/20	34272
4/6/20	25398
4/7/20	30561
4/8/20	30613
4/9/20	33323
4/10/20	33901
4/11/20	35527
4/12/20	28391
4/13/20	27620
4/14/20	25023
4/15/20	26922
4/16/20	30148
4/17/20	31667
4/18/20	30833
4/19/20	32922
4/20/20	24601
4/21/20	28065
4/22/20	37289
4/23/20	17588
4/24/20	26543
4/25/20	21352
4/26/20	48529
4/27/20	26857
4/28/20	22541
4/29/20	24132
4/30/20	27326
5/1/20	29917
5/2/20	33955
5/3/20	29288
5/4/20	24972
5/5/20	22593
5/6/20	23841
5/7/20	24128
5/8/20	28369
5/9/20	26957
5/10/20	25612
5/11/20	20258
5/12/20	18117
5/13/20	22048
5/14/20	20782
5/15/20	27143
5/16/20	25508
5/17/20	24487
5/18/20	18873
5/19/20	21841
5/20/20	19970
5/21/20	23285
5/22/20	25434
5/23/20	24147
5/24/20	21236
5/25/20	20568
5/26/20	19064
5/27/20	18910
5/28/20	18721
5/29/20	21817
5/30/20	25337
5/31/20	23297
6/1/20	19807
6/2/20	21086
6/3/20	20544
6/4/20	19699
6/5/20	21140
6/6/20	25178
6/7/20	22223
6/8/20	22302
6/9/20	18822
6/10/20	18665
6/11/20	20614
6/12/20	22883
6/13/20	25639
6/14/20	25540
6/15/20	19543
6/16/20	19957
6/17/20	23705
6/18/20	25559
6/19/20	27762
6/20/20	29909
6/21/20	34158
6/22/20	25793
6/23/20	31390
6/24/20	34720
6/25/20	34339
6/26/20	40949
6/27/20	45527
6/28/20	42486
6/29/20	38673
6/30/20	41556
7/1/20	43880
7/2/20	52048
7/3/20	53399
7/4/20	54442
7/5/20	45221
7/6/20	49093
7/7/20	49990
7/8/20	57473
7/9/20	58906
7/10/20	63004
7/11/20	66625
7/12/20	63051
7/13/20	57258
7/14/20	58114
7/15/20	68518
7/16/20	67717
7/17/20	76930
7/18/20	71494
7/19/20	63749
7/20/20	61796
7/21/20	56750
7/22/20	72048
7/23/20	68848
7/24/20	63196
7/25/20	78427
7/26/20	65498
7/27/20	55993
7/28/20	56243
7/29/20	61734
7/30/20	74985
7/31/20	68032
8/1/20	67023
8/2/20	58407
8/3/20	47511
8/4/20	45607
8/5/20	57525
8/6/20	52804
8/7/20	59755
8/8/20	58150
8/9/20	56221
8/10/20	46847
8/11/20	49530
8/12/20	46813
8/13/20	55941
8/14/20	51094
8/15/20	64838
8/16/20	48085
8/17/20	42104
8/18/20	35056
8/19/20	44091
8/20/20	47426
8/21/20	44005
8/22/20	49880
8/23/20	44378
8/24/20	34506
8/25/20	38298
8/26/20	38119
8/27/20	42848
8/28/20	45909
8/29/20	49654
8/30/20	44143
8/31/20	35581
9/1/20	33850
9/2/20	44639
9/3/20	38754
9/4/20	36249
9/5/20	51071
9/6/20	44140
9/7/20	30555
9/8/20	24250
9/9/20	27122
9/10/20	31927
9/11/20	37507
9/12/20	48061
9/13/20	40820
9/14/20	33871
9/15/20	34841
9/16/20	51473
9/17/20	24598
9/18/20	43567
9/19/20	50209
9/20/20	40295
9/21/20	39852
9/22/20	53153
